CERTIFICATION_ID,EMPLOYEE_ID,CERTIFICATION_NAME,ISSUING_ORGANIZATION,CERTIFICATION_CATEGORY,CERTIFICATION_DATE,EXPIRY_DATE,CERTIFICATION_STATUS,CREDENTIAL_ID,VERIFICATION_URL,COST_COVERED_BY,CREATED_AT
586,1414,Matillion Associate,Matillion,ETL,2025-06-26,2027-05-20,In Progress,CRED-975303,https://verify.example.com/748600,Company,2026-03-20 06:59:35.765
485,1302,Matillion Associate,Matillion,ETL,2025-07-04,2027-05-21,Active,CRED-279673,https://verify.example.com/235560,Company,2026-03-20 06:59:35.765
161,1333,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2025-04-27,2028-01-08,Expired,CRED-540086,https://verify.example.com/695015,Partial Reimbursement,2026-03-20 06:59:35.765
74,1317,Scrum Master CSM,Scrum Alliance,Agile,2025-02-11,2027-09-20,Active,CRED-836364,https://verify.example.com/958772,Partial Reimbursement,2026-03-20 06:59:35.765
443,1072,AWS Data Analytics Specialty,Amazon,Cloud Platform,2025-03-29,2027-08-11,Renewal Due,CRED-500332,https://verify.example.com/955703,Partial Reimbursement,2026-03-20 06:59:35.765
468,1354,Azure Fundamentals,Microsoft,Cloud Platform,2025-07-09,2027-09-11,Active,CRED-118705,https://verify.example.com/329274,Company,2026-03-20 06:59:35.765
36,1093,PMP,PMI,Project Management,2025-04-14,2027-08-15,Renewal Due,CRED-395311,https://verify.example.com/585008,Self,2026-03-20 06:59:35.765
555,1252,Azure Data Engineer Associate,Microsoft,Cloud Platform,2023-12-30,2027-02-14,Renewal Due,CRED-811562,https://verify.example.com/985966,Self,2026-03-20 06:59:35.765
327,1033,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2025-12-02,2027-03-31,Expired,CRED-432030,https://verify.example.com/536357,Company,2026-03-20 06:59:35.765
704,1116,Matillion Associate,Matillion,ETL,2026-02-10,2027-10-20,Active,CRED-558987,https://verify.example.com/665481,Partial Reimbursement,2026-03-20 06:59:35.765
130,1278,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2024-04-14,2027-03-13,Active,CRED-358602,https://verify.example.com/602759,Partial Reimbursement,2026-03-20 06:59:35.765
477,1241,SnowPro Advanced Data Analyst,Snowflake,Cloud Data Platform,2023-10-19,2026-11-13,In Progress,CRED-860754,https://verify.example.com/926361,Company,2026-03-20 06:59:35.765
360,1424,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2025-03-22,2026-01-30,Renewal Due,CRED-357981,https://verify.example.com/594432,Partial Reimbursement,2026-03-20 06:59:35.765
42,1487,GCP Professional Data Engineer,Google,Cloud Platform,2025-06-01,2027-11-18,Renewal Due,CRED-198480,https://verify.example.com/543916,Partial Reimbursement,2026-03-20 06:59:35.765
463,1194,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2023-08-25,2026-08-30,In Progress,CRED-369958,https://verify.example.com/827260,Partial Reimbursement,2026-03-20 06:59:35.765
91,1245,dbt Analytics Engineering,dbt Labs,Data Transformation,2025-05-04,2026-12-13,In Progress,CRED-732342,https://verify.example.com/351415,Company,2026-03-20 06:59:35.765
238,1200,dbt Analytics Engineering,dbt Labs,Data Transformation,2024-08-31,2026-11-21,Expired,CRED-639655,https://verify.example.com/394798,Partial Reimbursement,2026-03-20 06:59:35.765
484,1302,Azure Fundamentals,Microsoft,Cloud Platform,2026-01-02,2027-08-25,Active,CRED-611650,https://verify.example.com/470836,Company,2026-03-20 06:59:35.765
313,1408,dbt Analytics Engineering,dbt Labs,Data Transformation,2025-10-31,2027-05-06,Active,CRED-359880,https://verify.example.com/795498,Company,2026-03-20 06:59:35.765
140,1173,AWS Data Analytics Specialty,Amazon,Cloud Platform,2025-11-15,2027-06-07,Renewal Due,CRED-764795,https://verify.example.com/911371,Self,2026-03-20 06:59:35.765
96,1461,Informatica PowerCenter,Informatica,ETL,2025-07-19,2027-01-11,Renewal Due,CRED-252772,https://verify.example.com/451278,Partial Reimbursement,2026-03-20 06:59:35.765
646,1365,Apache Kafka Certification,Confluent,Streaming,2023-10-12,2027-08-02,Renewal Due,CRED-983314,https://verify.example.com/778583,Company,2026-03-20 06:59:35.765
438,1295,SnowPro Advanced Data Analyst,Snowflake,Cloud Data Platform,2025-05-26,2027-01-18,Expired,CRED-299195,https://verify.example.com/793682,Company,2026-03-20 06:59:35.765
86,1299,Power BI Data Analyst,Microsoft,Visualization,2024-09-22,2027-06-03,Active,CRED-930885,https://verify.example.com/278541,Partial Reimbursement,2026-03-20 06:59:35.765
270,1232,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2025-06-20,2027-12-31,In Progress,CRED-765321,https://verify.example.com/156295,Partial Reimbursement,2026-03-20 06:59:35.765
170,1049,Power BI Data Analyst,Microsoft,Visualization,2024-03-11,2027-12-25,Active,CRED-817259,https://verify.example.com/400395,Partial Reimbursement,2026-03-20 06:59:35.765
80,1377,Certified Kubernetes Administrator,CNCF,DevOps,2026-01-17,2026-03-01,Expired,CRED-438851,https://verify.example.com/613175,Company,2026-03-20 06:59:35.765
392,1135,Azure Solutions Architect Expert,Microsoft,Cloud Platform,2025-08-14,2027-11-01,Renewal Due,CRED-393495,https://verify.example.com/628507,Self,2026-03-20 06:59:35.765
268,1232,Informatica PowerCenter,Informatica,ETL,2025-05-31,2026-09-05,Expired,CRED-635099,https://verify.example.com/944847,Partial Reimbursement,2026-03-20 06:59:35.765
25,1454,Certified Kubernetes Administrator,CNCF,DevOps,2025-12-04,2026-01-22,Expired,CRED-471377,https://verify.example.com/141941,Company,2026-03-20 06:59:35.765
213,1467,Azure Data Engineer Associate,Microsoft,Cloud Platform,2023-10-19,2026-03-04,In Progress,CRED-158559,https://verify.example.com/655894,Self,2026-03-20 06:59:35.765
455,1006,Tableau Desktop Specialist,Tableau,Visualization,2024-09-29,2028-03-03,Renewal Due,CRED-797886,https://verify.example.com/218697,Self,2026-03-20 06:59:35.765
409,1356,Terraform Associate,HashiCorp,Infrastructure,2024-12-21,2027-11-07,Expired,CRED-580015,https://verify.example.com/191560,Company,2026-03-20 06:59:35.765
639,1374,Fivetran Partner Certification,Fivetran,Data Integration,2025-02-26,2026-03-30,Active,CRED-551932,https://verify.example.com/806184,Partial Reimbursement,2026-03-20 06:59:35.765
379,1181,PMP,PMI,Project Management,2025-08-13,2026-05-11,Active,CRED-500565,https://verify.example.com/899946,Partial Reimbursement,2026-03-20 06:59:35.765
311,1044,Azure Solutions Architect Expert,Microsoft,Cloud Platform,2025-12-23,2026-06-04,Expired,CRED-438644,https://verify.example.com/603295,Company,2026-03-20 06:59:35.765
286,1509,Databricks Certified Data Engineer,Databricks,Data Platform,2024-05-28,2026-06-25,Expired,CRED-641793,https://verify.example.com/501566,Company,2026-03-20 06:59:35.765
478,1412,Azure Data Engineer Associate,Microsoft,Cloud Platform,2025-03-01,2026-03-13,Renewal Due,CRED-947549,https://verify.example.com/743891,Company,2026-03-20 06:59:35.765
110,1140,Azure Data Engineer Associate,Microsoft,Cloud Platform,2024-12-28,2026-09-06,Renewal Due,CRED-575049,https://verify.example.com/754893,Partial Reimbursement,2026-03-20 06:59:35.765
82,1429,SnowPro Advanced Data Analyst,Snowflake,Cloud Data Platform,2025-04-27,2026-06-13,Renewal Due,CRED-224530,https://verify.example.com/794915,Company,2026-03-20 06:59:35.765
702,1069,Scrum Master CSM,Scrum Alliance,Agile,2025-03-26,2026-10-14,Renewal Due,CRED-259566,https://verify.example.com/682624,Company,2026-03-20 06:59:35.765
264,1450,GCP Professional Data Engineer,Google,Cloud Platform,2024-08-21,2026-05-24,In Progress,CRED-955455,https://verify.example.com/333502,Company,2026-03-20 06:59:35.765
198,1376,Databricks Certified ML Professional,Databricks,Data Platform,2023-11-25,2026-04-17,In Progress,CRED-472610,https://verify.example.com/755081,Partial Reimbursement,2026-03-20 06:59:35.765
655,1138,PMP,PMI,Project Management,2024-05-16,2027-01-15,Renewal Due,CRED-798591,https://verify.example.com/921162,Partial Reimbursement,2026-03-20 06:59:35.765
673,1264,Fivetran Partner Certification,Fivetran,Data Integration,2023-09-01,2028-03-06,Renewal Due,CRED-215961,https://verify.example.com/221528,Partial Reimbursement,2026-03-20 06:59:35.765
408,1282,AWS Data Analytics Specialty,Amazon,Cloud Platform,2026-02-10,2027-09-27,In Progress,CRED-781625,https://verify.example.com/842380,Self,2026-03-20 06:59:35.765
282,1309,Scrum Master CSM,Scrum Alliance,Agile,2025-07-26,2028-02-13,Expired,CRED-915653,https://verify.example.com/343745,Self,2026-03-20 06:59:35.765
346,1038,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2024-03-08,2027-07-17,Expired,CRED-143910,https://verify.example.com/494745,Company,2026-03-20 06:59:35.765
283,1458,Terraform Associate,HashiCorp,Infrastructure,2025-11-05,2027-11-03,Expired,CRED-689498,https://verify.example.com/420666,Company,2026-03-20 06:59:35.765
217,1014,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2025-04-25,2027-08-20,In Progress,CRED-230694,https://verify.example.com/871698,Partial Reimbursement,2026-03-20 06:59:35.765
400,1046,AWS Data Analytics Specialty,Amazon,Cloud Platform,2024-04-15,2026-03-29,Renewal Due,CRED-502202,https://verify.example.com/415004,Partial Reimbursement,2026-03-20 06:59:35.765
393,1462,Azure Solutions Architect Expert,Microsoft,Cloud Platform,2023-10-11,2028-01-24,Renewal Due,CRED-523586,https://verify.example.com/388487,Company,2026-03-20 06:59:35.765
30,1291,Matillion Associate,Matillion,ETL,2025-10-15,2027-08-25,Active,CRED-448498,https://verify.example.com/777137,Self,2026-03-20 06:59:35.765
289,1057,Databricks Certified Data Engineer,Databricks,Data Platform,2025-04-08,2027-07-26,Renewal Due,CRED-507785,https://verify.example.com/807218,Self,2026-03-20 06:59:35.765
472,1158,SnowPro Core,Snowflake,Cloud Data Platform,2025-03-12,2027-06-26,Renewal Due,CRED-196087,https://verify.example.com/366683,Partial Reimbursement,2026-03-20 06:59:35.765
446,1493,Informatica PowerCenter,Informatica,ETL,2024-07-09,2026-08-07,Renewal Due,CRED-642459,https://verify.example.com/697298,Company,2026-03-20 06:59:35.765
236,1207,GCP Professional Data Engineer,Google,Cloud Platform,2025-07-28,2026-12-24,Active,CRED-591191,https://verify.example.com/872849,Self,2026-03-20 06:59:35.765
108,1428,Tableau Desktop Specialist,Tableau,Visualization,2024-03-12,2026-03-21,Expired,CRED-425306,https://verify.example.com/866716,Self,2026-03-20 06:59:35.765
378,1062,GCP Cloud Architect,Google,Cloud Platform,2025-04-24,2027-02-01,Expired,CRED-325323,https://verify.example.com/157961,Partial Reimbursement,2026-03-20 06:59:35.765
207,1195,Apache Kafka Certification,Confluent,Streaming,2025-12-06,2027-10-21,Renewal Due,CRED-137789,https://verify.example.com/591330,Self,2026-03-20 06:59:35.765
208,1183,PMP,PMI,Project Management,2023-12-20,2027-06-30,In Progress,CRED-197734,https://verify.example.com/758391,Company,2026-03-20 06:59:35.765
452,1459,Scrum Master CSM,Scrum Alliance,Agile,2025-12-07,2026-09-12,In Progress,CRED-976667,https://verify.example.com/149520,Company,2026-03-20 06:59:35.765
235,1119,Terraform Associate,HashiCorp,Infrastructure,2026-01-21,2027-07-21,In Progress,CRED-941527,https://verify.example.com/479130,Company,2026-03-20 06:59:35.765
55,1479,GCP Cloud Architect,Google,Cloud Platform,2024-12-09,2026-12-25,Active,CRED-725890,https://verify.example.com/275238,Partial Reimbursement,2026-03-20 06:59:35.765
169,1359,SnowPro Core,Snowflake,Cloud Data Platform,2025-02-13,2027-11-25,Active,CRED-954191,https://verify.example.com/364987,Self,2026-03-20 06:59:35.765
444,1072,Azure Data Engineer Associate,Microsoft,Cloud Platform,2025-05-26,2026-08-14,Active,CRED-920358,https://verify.example.com/341579,Company,2026-03-20 06:59:35.765
163,1030,SnowPro Advanced Data Analyst,Snowflake,Cloud Data Platform,2025-12-31,2026-07-31,In Progress,CRED-375033,https://verify.example.com/363970,Partial Reimbursement,2026-03-20 06:59:35.765
669,1125,Matillion Associate,Matillion,ETL,2025-05-13,2026-08-11,Active,CRED-446577,https://verify.example.com/160053,Self,2026-03-20 06:59:35.765
427,1420,Databricks Certified ML Professional,Databricks,Data Platform,2024-05-23,2027-09-15,In Progress,CRED-572541,https://verify.example.com/459649,Company,2026-03-20 06:59:35.765
632,1343,SnowPro Core,Snowflake,Cloud Data Platform,2025-11-20,2026-06-25,Active,CRED-197940,https://verify.example.com/479386,Company,2026-03-20 06:59:35.765
121,1355,Azure Fundamentals,Microsoft,Cloud Platform,2025-11-19,2027-07-23,In Progress,CRED-975412,https://verify.example.com/537207,Partial Reimbursement,2026-03-20 06:59:35.765
328,1019,Databricks Certified ML Professional,Databricks,Data Platform,2025-04-01,2026-08-01,Active,CRED-224652,https://verify.example.com/979589,Partial Reimbursement,2026-03-20 06:59:35.765
249,1321,Certified Kubernetes Administrator,CNCF,DevOps,2025-12-17,2026-09-16,Active,CRED-992820,https://verify.example.com/835143,Company,2026-03-20 06:59:35.765
309,1292,Databricks Certified Data Engineer,Databricks,Data Platform,2024-11-25,2026-01-19,Expired,CRED-761654,https://verify.example.com/155181,Partial Reimbursement,2026-03-20 06:59:35.765
33,1001,Informatica PowerCenter,Informatica,ETL,2025-02-12,2027-06-04,Expired,CRED-271423,https://verify.example.com/832178,Partial Reimbursement,2026-03-20 06:59:35.765
70,1151,SnowPro Advanced Data Analyst,Snowflake,Cloud Data Platform,2025-11-11,2026-01-20,Renewal Due,CRED-407361,https://verify.example.com/201973,Self,2026-03-20 06:59:35.765
624,1184,Terraform Associate,HashiCorp,Infrastructure,2023-10-22,2028-03-12,Active,CRED-351806,https://verify.example.com/842040,Partial Reimbursement,2026-03-20 06:59:35.765
688,1091,Apache Kafka Certification,Confluent,Streaming,2025-05-24,2027-05-12,In Progress,CRED-516525,https://verify.example.com/856152,Self,2026-03-20 06:59:35.765
240,1200,GCP Professional Data Engineer,Google,Cloud Platform,2023-07-07,2027-10-01,In Progress,CRED-454257,https://verify.example.com/415777,Self,2026-03-20 06:59:35.765
413,1000,Fivetran Partner Certification,Fivetran,Data Integration,2025-03-26,2026-12-15,In Progress,CRED-466369,https://verify.example.com/148122,Self,2026-03-20 06:59:35.765
244,1272,SnowPro Core,Snowflake,Cloud Data Platform,2024-06-18,2027-12-18,Active,CRED-901103,https://verify.example.com/180949,Partial Reimbursement,2026-03-20 06:59:35.765
411,1356,Matillion Associate,Matillion,ETL,2025-02-15,2026-11-19,Expired,CRED-160029,https://verify.example.com/309202,Partial Reimbursement,2026-03-20 06:59:35.765
626,1511,AWS Solutions Architect Associate,Amazon,Cloud Platform,2024-04-06,2027-06-10,Active,CRED-355535,https://verify.example.com/101335,Company,2026-03-20 06:59:35.765
538,1447,AWS Solutions Architect Associate,Amazon,Cloud Platform,2025-04-29,2028-02-18,In Progress,CRED-415886,https://verify.example.com/149757,Partial Reimbursement,2026-03-20 06:59:35.765
610,1097,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2026-02-09,2027-05-20,In Progress,CRED-626728,https://verify.example.com/835351,Self,2026-03-20 06:59:35.765
707,1027,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2024-03-31,2027-03-20,Active,CRED-958091,https://verify.example.com/252496,Company,2026-03-20 06:59:35.765
28,1438,Apache Kafka Certification,Confluent,Streaming,2026-02-01,2027-05-18,Expired,CRED-191810,https://verify.example.com/768086,Company,2026-03-20 06:59:35.765
245,1272,Certified Kubernetes Administrator,CNCF,DevOps,2024-02-14,2027-08-10,Expired,CRED-963639,https://verify.example.com/953731,Self,2026-03-20 06:59:35.765
554,1339,AWS Cloud Practitioner,Amazon,Cloud Platform,2025-11-07,2026-10-21,Renewal Due,CRED-682752,https://verify.example.com/279182,Self,2026-03-20 06:59:35.765
336,1111,SnowPro Advanced Data Analyst,Snowflake,Cloud Data Platform,2024-03-10,2028-02-26,Renewal Due,CRED-890260,https://verify.example.com/887589,Company,2026-03-20 06:59:35.765
162,1333,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2025-10-26,2027-01-09,Expired,CRED-986941,https://verify.example.com/335248,Partial Reimbursement,2026-03-20 06:59:35.765
118,1020,Azure Data Engineer Associate,Microsoft,Cloud Platform,2023-08-08,2027-07-22,Renewal Due,CRED-844249,https://verify.example.com/319228,Partial Reimbursement,2026-03-20 06:59:35.765
569,1362,Azure Data Engineer Associate,Microsoft,Cloud Platform,2023-07-16,2027-08-30,Active,CRED-885273,https://verify.example.com/440447,Company,2026-03-20 06:59:35.765
404,1204,Azure Data Engineer Associate,Microsoft,Cloud Platform,2025-09-22,2026-09-09,Expired,CRED-844526,https://verify.example.com/640522,Company,2026-03-20 06:59:35.765
107,1428,Matillion Associate,Matillion,ETL,2025-06-19,2027-09-13,Renewal Due,CRED-885590,https://verify.example.com/207658,Company,2026-03-20 06:59:35.765
220,1113,PMP,PMI,Project Management,2025-02-27,2027-06-28,Active,CRED-313192,https://verify.example.com/956888,Self,2026-03-20 06:59:35.765
714,1104,Certified Kubernetes Administrator,CNCF,DevOps,2024-09-17,2027-07-19,Active,CRED-230433,https://verify.example.com/976722,Partial Reimbursement,2026-03-20 06:59:35.765
525,1165,AWS Solutions Architect Associate,Amazon,Cloud Platform,2025-06-19,2026-06-08,Expired,CRED-817562,https://verify.example.com/606430,Company,2026-03-20 06:59:35.765
90,1245,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2025-09-05,2026-04-14,In Progress,CRED-421562,https://verify.example.com/388281,Company,2026-03-20 06:59:35.765
517,1490,Apache Kafka Certification,Confluent,Streaming,2025-07-21,2027-04-09,Expired,CRED-496219,https://verify.example.com/375250,Company,2026-03-20 06:59:35.765
467,1354,dbt Analytics Engineering,dbt Labs,Data Transformation,2025-05-10,2028-01-08,Active,CRED-646015,https://verify.example.com/334751,Self,2026-03-20 06:59:35.765
606,1025,AWS Solutions Architect Associate,Amazon,Cloud Platform,2025-12-14,2027-08-22,In Progress,CRED-531274,https://verify.example.com/516454,Partial Reimbursement,2026-03-20 06:59:35.765
717,1316,Databricks Certified Data Engineer,Databricks,Data Platform,2024-01-10,2026-11-16,Expired,CRED-745152,https://verify.example.com/759574,Partial Reimbursement,2026-03-20 06:59:35.765
314,1408,Azure Data Engineer Associate,Microsoft,Cloud Platform,2025-03-30,2026-03-23,Active,CRED-453566,https://verify.example.com/323516,Self,2026-03-20 06:59:35.765
203,1085,GCP Cloud Architect,Google,Cloud Platform,2024-05-11,2028-01-23,Active,CRED-944918,https://verify.example.com/466221,Self,2026-03-20 06:59:35.765
204,1398,Azure Data Engineer Associate,Microsoft,Cloud Platform,2025-07-02,2026-06-22,In Progress,CRED-681033,https://verify.example.com/754239,Company,2026-03-20 06:59:35.765
585,1294,Apache Kafka Certification,Confluent,Streaming,2025-03-09,2027-12-02,Expired,CRED-818895,https://verify.example.com/500281,Self,2026-03-20 06:59:35.765
188,1223,Azure Fundamentals,Microsoft,Cloud Platform,2025-03-14,2027-04-12,Renewal Due,CRED-585925,https://verify.example.com/706205,Self,2026-03-20 06:59:35.765
689,1388,SnowPro Core,Snowflake,Cloud Data Platform,2024-11-30,2026-09-17,In Progress,CRED-845965,https://verify.example.com/521426,Partial Reimbursement,2026-03-20 06:59:35.765
666,1048,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2025-03-22,2026-06-26,In Progress,CRED-886822,https://verify.example.com/444232,Company,2026-03-20 06:59:35.765
572,1477,SnowPro Core,Snowflake,Cloud Data Platform,2024-10-26,2026-02-12,Renewal Due,CRED-691482,https://verify.example.com/760719,Partial Reimbursement,2026-03-20 06:59:35.765
176,1432,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2024-01-28,2027-01-08,Renewal Due,CRED-604283,https://verify.example.com/143023,Partial Reimbursement,2026-03-20 06:59:35.765
334,1128,Apache Kafka Certification,Confluent,Streaming,2026-01-20,2027-03-26,Active,CRED-552019,https://verify.example.com/158293,Company,2026-03-20 06:59:35.765
563,1191,AWS Solutions Architect Associate,Amazon,Cloud Platform,2025-05-11,2026-09-06,Active,CRED-452178,https://verify.example.com/294620,Partial Reimbursement,2026-03-20 06:59:35.765
13,1391,AWS Cloud Practitioner,Amazon,Cloud Platform,2025-06-18,2026-10-25,Active,CRED-683172,https://verify.example.com/940461,Company,2026-03-20 06:59:35.765
621,1389,Azure Data Engineer Associate,Microsoft,Cloud Platform,2023-09-15,2026-03-19,Active,CRED-484366,https://verify.example.com/107016,Company,2026-03-20 06:59:35.765
119,1229,Databricks Certified ML Professional,Databricks,Data Platform,2024-08-02,2026-01-20,Expired,CRED-832953,https://verify.example.com/898704,Company,2026-03-20 06:59:35.765
648,1371,Apache Kafka Certification,Confluent,Streaming,2025-03-12,2026-12-27,Expired,CRED-553145,https://verify.example.com/522524,Partial Reimbursement,2026-03-20 06:59:35.765
111,1140,Terraform Associate,HashiCorp,Infrastructure,2025-08-15,2026-05-25,Expired,CRED-535826,https://verify.example.com/201391,Self,2026-03-20 06:59:35.765
122,1214,Terraform Associate,HashiCorp,Infrastructure,2024-09-09,2026-10-26,Active,CRED-888055,https://verify.example.com/560062,Self,2026-03-20 06:59:35.765
659,1226,Informatica PowerCenter,Informatica,ETL,2024-08-25,2026-11-22,Active,CRED-392323,https://verify.example.com/646117,Self,2026-03-20 06:59:35.765
399,1046,Apache Kafka Certification,Confluent,Streaming,2024-07-05,2027-10-18,In Progress,CRED-984303,https://verify.example.com/435374,Partial Reimbursement,2026-03-20 06:59:35.765
46,1247,Tableau Desktop Specialist,Tableau,Visualization,2024-05-25,2026-09-03,Renewal Due,CRED-983694,https://verify.example.com/328543,Self,2026-03-20 06:59:35.765
480,1277,Databricks Certified Data Engineer,Databricks,Data Platform,2025-01-27,2026-06-09,Active,CRED-836975,https://verify.example.com/543466,Company,2026-03-20 06:59:35.765
508,1328,Databricks Certified ML Professional,Databricks,Data Platform,2025-09-21,2027-10-22,In Progress,CRED-583453,https://verify.example.com/481184,Partial Reimbursement,2026-03-20 06:59:35.765
362,1393,Terraform Associate,HashiCorp,Infrastructure,2025-09-28,2026-10-19,Active,CRED-985947,https://verify.example.com/716808,Partial Reimbursement,2026-03-20 06:59:35.765
454,1459,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2024-10-16,2027-08-11,Renewal Due,CRED-396865,https://verify.example.com/356638,Partial Reimbursement,2026-03-20 06:59:35.765
143,1173,GCP Cloud Architect,Google,Cloud Platform,2024-11-18,2028-01-01,Expired,CRED-920696,https://verify.example.com/298338,Partial Reimbursement,2026-03-20 06:59:35.765
633,1343,Databricks Certified ML Professional,Databricks,Data Platform,2024-08-23,2026-06-04,Renewal Due,CRED-784165,https://verify.example.com/670180,Self,2026-03-20 06:59:35.765
662,1023,Tableau Desktop Specialist,Tableau,Visualization,2025-08-17,2027-11-09,In Progress,CRED-937658,https://verify.example.com/711131,Partial Reimbursement,2026-03-20 06:59:35.765
194,1178,GCP Cloud Architect,Google,Cloud Platform,2023-09-26,2026-09-02,Renewal Due,CRED-992835,https://verify.example.com/618582,Company,2026-03-20 06:59:35.765
103,1051,Matillion Associate,Matillion,ETL,2023-06-28,2026-04-25,In Progress,CRED-326357,https://verify.example.com/241495,Partial Reimbursement,2026-03-20 06:59:35.765
495,1153,Azure Fundamentals,Microsoft,Cloud Platform,2025-12-22,2026-11-15,Expired,CRED-812451,https://verify.example.com/421038,Self,2026-03-20 06:59:35.765
694,1364,Databricks Certified Data Engineer,Databricks,Data Platform,2025-09-13,2027-11-02,Expired,CRED-478001,https://verify.example.com/472524,Company,2026-03-20 06:59:35.765
387,1073,Azure Data Engineer Associate,Microsoft,Cloud Platform,2025-02-15,2026-01-20,In Progress,CRED-911971,https://verify.example.com/612012,Company,2026-03-20 06:59:35.765
716,1316,AWS Data Analytics Specialty,Amazon,Cloud Platform,2024-12-03,2027-06-18,In Progress,CRED-730998,https://verify.example.com/846567,Company,2026-03-20 06:59:35.765
68,1058,AWS Cloud Practitioner,Amazon,Cloud Platform,2025-10-08,2028-02-15,Renewal Due,CRED-798094,https://verify.example.com/546060,Company,2026-03-20 06:59:35.765
338,1192,Scrum Master CSM,Scrum Alliance,Agile,2025-07-10,2026-03-03,Expired,CRED-342709,https://verify.example.com/284630,Partial Reimbursement,2026-03-20 06:59:35.765
473,1039,SnowPro Advanced Data Engineer,Snowflake,Cloud Data Platform,2023-10-23,2027-09-20,Active,CRED-274771,https://verify.example.com/297682,Partial Reimbursement,2026-03-20 06:59:35.765
