MARGIN_ID,EMPLOYEE_ID,PROJECT_NAME,CLIENT_NAME,BILLING_START_DATE,BILLING_END_DATE,BILLING_RATE_PER_HOUR,COST_RATE_PER_HOUR,MARGIN_AMOUNT_PER_HOUR,MARGIN_PERCENTAGE,MONTHLY_BILLED_HOURS,MONTHLY_REVENUE,MONTHLY_COST,MONTHLY_MARGIN,BILLING_TYPE,CURRENCY,ENGAGEMENT_TYPE,IS_ACTIVE,CREATED_AT
109,1257,Data Warehouse Redesign,Acme Corp,2025-11-29,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
110,1265,Real-time Analytics,MediaStream,2025-12-17,2026-05-05,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
111,1289,Dashboard Development,DataFirst LLC,2025-06-03,2026-07-30,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,false,2026-03-20 07:01:48.136
112,1297,ML Pipeline,EduSpark,2025-07-22,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Support & Maintenance,false,2026-03-20 07:01:48.136
113,1297,Cloud Migration,TechNova Inc,2025-04-06,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Project Based,true,2026-03-20 07:01:48.136
114,1297,ETL Modernization,BankRight,2025-06-07,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,true,2026-03-20 07:01:48.136
115,1337,Data Governance Setup,BankRight,2025-09-01,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,true,2026-03-20 07:01:48.136
116,1337,Platform Upgrade,HealthTech Solutions,2025-06-20,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Managed Services,false,2026-03-20 07:01:48.136
117,1353,Dashboard Development,FinServ Global,2025-07-24,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
118,1361,ML Pipeline,TechNova Inc,2025-08-09,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,true,2026-03-20 07:01:48.136
119,1401,Cost Optimization,FinServ Global,2025-12-12,2026-09-12,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
120,1409,ETL Modernization,CloudScale,2025-08-13,2026-04-27,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,true,2026-03-20 07:01:48.136
121,1417,Snowflake Migration,InsurePro,2025-05-18,2026-08-11,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,true,2026-03-20 07:01:48.136
122,1417,ML Pipeline,TechNova Inc,2025-11-13,2026-08-09,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
123,1441,Snowflake Migration,DataFirst LLC,2025-03-21,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Project Based,true,2026-03-20 07:01:48.136
124,1441,Cloud Migration,TechNova Inc,2025-10-11,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
125,1449,POC Development,HealthTech Solutions,2026-01-02,2026-06-18,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
126,1457,Dashboard Development,BankRight,2026-01-12,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
127,1457,POC Development,TravelEase,2025-07-24,2026-08-28,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
128,1457,API Integration,EnergyOne,2025-03-23,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,true,2026-03-20 07:01:48.136
129,1465,Data Lake Build,EnergyOne,2025-05-31,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Project Based,true,2026-03-20 07:01:48.136
130,1465,Data Governance Setup,EduSpark,2025-05-16,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Project Based,true,2026-03-20 07:01:48.136
131,1473,ETL Modernization,EduSpark,2025-10-08,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
132,1481,ML Pipeline,CloudScale,2026-02-06,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Project Based,true,2026-03-20 07:01:48.136
133,1505,POC Development,RetailMax,2025-05-19,2026-07-02,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
134,1505,Cloud Migration,MediaStream,2026-01-14,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Project Based,false,2026-03-20 07:01:48.136
135,1006,Reporting Automation,TechNova Inc,2025-10-05,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,false,2026-03-20 07:01:48.136
136,1006,Snowflake Migration,EnergyOne,2025-06-24,2026-09-04,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,false,2026-03-20 07:01:48.136
137,1006,Data Lake Build,RetailMax,2025-04-21,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
138,1014,API Integration,EnergyOne,2025-06-04,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
139,1014,ETL Modernization,DataFirst LLC,2026-02-12,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Consulting,true,2026-03-20 07:01:48.136
140,1022,Platform Upgrade,MediaStream,2025-07-05,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,true,2026-03-20 07:01:48.136
141,1030,Data Lake Build,MediaStream,2025-06-08,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
142,1030,Platform Upgrade,DataFirst LLC,2025-07-24,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
143,1046,Cost Optimization,InsurePro,2025-03-23,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,true,2026-03-20 07:01:48.136
144,1094,Data Lake Build,FoodChain Co,2026-02-04,2026-06-24,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
145,1102,Reporting Automation,EnergyOne,2025-08-02,2026-07-05,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
146,1102,API Integration,BankRight,2025-09-11,2026-07-21,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Consulting,true,2026-03-20 07:01:48.136
147,1118,Data Governance Setup,DataFirst LLC,2025-10-27,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,false,2026-03-20 07:01:48.136
148,1126,Data Warehouse Redesign,HealthTech Solutions,2025-11-29,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,true,2026-03-20 07:01:48.136
149,1126,Dashboard Development,FinServ Global,2025-06-23,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
150,1166,Snowflake Migration,AutoDrive Inc,2026-02-17,2026-09-10,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
151,1174,Dashboard Development,Acme Corp,2025-04-28,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
152,1174,POC Development,InsurePro,2025-08-09,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,true,2026-03-20 07:01:48.136
153,1174,Reporting Automation,AutoDrive Inc,2025-09-13,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,false,2026-03-20 07:01:48.136
154,1198,Reporting Automation,AutoDrive Inc,2025-11-11,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Managed Services,false,2026-03-20 07:01:48.136
155,1206,Dashboard Development,TechNova Inc,2026-01-01,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,false,2026-03-20 07:01:48.136
156,1206,API Integration,AutoDrive Inc,2025-12-24,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
157,1206,Real-time Analytics,MediaStream,2025-06-01,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Consulting,true,2026-03-20 07:01:48.136
158,1222,Security Audit,RetailMax,2025-05-25,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Project Based,true,2026-03-20 07:01:48.136
159,1238,Reporting Automation,EduSpark,2025-10-26,2026-04-27,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
160,1238,Cloud Migration,DataFirst LLC,2025-12-30,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
161,1238,Platform Upgrade,EnergyOne,2025-07-10,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Consulting,false,2026-03-20 07:01:48.136
162,1238,Reporting Automation,RetailMax,2025-06-24,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
163,1262,ETL Modernization,TechNova Inc,2025-12-02,2026-07-17,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Project Based,false,2026-03-20 07:01:48.136
164,1270,POC Development,RetailMax,2025-11-05,2026-08-27,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
165,1270,Snowflake Migration,TechNova Inc,2025-08-07,2026-08-20,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,true,2026-03-20 07:01:48.136
166,1270,Reporting Automation,FoodChain Co,2025-08-21,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,true,2026-03-20 07:01:48.136
167,1270,Reporting Automation,RetailMax,2025-06-18,2026-08-23,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,false,2026-03-20 07:01:48.136
168,1286,API Integration,MediaStream,2025-11-01,2026-06-15,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
169,1286,Platform Upgrade,MediaStream,2025-07-19,2026-05-03,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
170,1302,Security Audit,DataFirst LLC,2025-10-31,2026-08-12,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,false,2026-03-20 07:01:48.136
171,1310,Snowflake Migration,TravelEase,2025-11-17,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
172,1310,Snowflake Migration,TechNova Inc,2026-01-15,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Consulting,true,2026-03-20 07:01:48.136
173,1310,Real-time Analytics,DataFirst LLC,2025-04-11,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Consulting,true,2026-03-20 07:01:48.136
174,1326,Real-time Analytics,RetailMax,2025-09-21,2026-05-24,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,true,2026-03-20 07:01:48.136
175,1350,Data Governance Setup,TravelEase,2025-09-29,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
176,1366,Dashboard Development,HealthTech Solutions,2025-12-15,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,true,2026-03-20 07:01:48.136
177,1374,Cloud Migration,RetailMax,2025-05-28,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Managed Services,true,2026-03-20 07:01:48.136
178,1374,Data Warehouse Redesign,RetailMax,2025-10-08,2026-07-01,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Project Based,true,2026-03-20 07:01:48.136
179,1414,Data Lake Build,DataFirst LLC,2026-01-03,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Project Based,true,2026-03-20 07:01:48.136
180,1422,Cloud Migration,CloudScale,2025-09-18,2026-07-18,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
181,1422,Platform Upgrade,TravelEase,2025-07-03,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
182,1422,Reporting Automation,HealthTech Solutions,2025-09-11,2026-05-20,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Project Based,true,2026-03-20 07:01:48.136
183,1454,Platform Upgrade,TechNova Inc,2025-12-09,2026-05-13,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
184,1470,Data Governance Setup,TravelEase,2025-11-25,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
185,1007,Snowflake Migration,CloudScale,2025-07-07,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
186,1047,Real-time Analytics,MediaStream,2025-04-02,2026-04-20,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,false,2026-03-20 07:01:48.136
187,1047,Data Warehouse Redesign,HealthTech Solutions,2025-12-22,2026-07-27,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Managed Services,true,2026-03-20 07:01:48.136
188,1055,Data Warehouse Redesign,FoodChain Co,2025-07-05,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,false,2026-03-20 07:01:48.136
189,1063,Security Audit,FoodChain Co,2025-07-07,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
190,1071,Cloud Migration,FoodChain Co,2025-12-12,2026-05-07,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
191,1103,Reporting Automation,CloudScale,2025-10-17,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Consulting,true,2026-03-20 07:01:48.136
192,1111,API Integration,FoodChain Co,2025-12-20,2026-05-31,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Managed Services,true,2026-03-20 07:01:48.136
193,1143,Platform Upgrade,FoodChain Co,2025-11-04,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,true,2026-03-20 07:01:48.136
194,1159,ML Pipeline,Acme Corp,2025-06-05,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
195,1167,Data Warehouse Redesign,InsurePro,2025-04-24,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,false,2026-03-20 07:01:48.136
196,1167,POC Development,EnergyOne,2025-05-28,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,true,2026-03-20 07:01:48.136
197,1175,ETL Modernization,EduSpark,2026-02-12,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
198,1175,ETL Modernization,InsurePro,2025-09-03,2026-07-30,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Project Based,true,2026-03-20 07:01:48.136
199,1175,POC Development,TechNova Inc,2025-08-02,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,true,2026-03-20 07:01:48.136
200,1183,ETL Modernization,TravelEase,2025-03-20,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Consulting,true,2026-03-20 07:01:48.136
201,1191,ML Pipeline,FinServ Global,2025-07-09,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Project Based,true,2026-03-20 07:01:48.136
202,1207,Reporting Automation,TechNova Inc,2025-05-29,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Project Based,true,2026-03-20 07:01:48.136
203,1215,Dashboard Development,TravelEase,2025-06-03,2026-05-27,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Managed Services,true,2026-03-20 07:01:48.136
204,1215,Cost Optimization,AutoDrive Inc,2025-08-08,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
205,1311,API Integration,TechNova Inc,2025-03-26,2026-07-03,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,true,2026-03-20 07:01:48.136
206,1311,API Integration,DataFirst LLC,2025-10-13,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
207,1311,ML Pipeline,TechNova Inc,2025-05-21,2026-09-03,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Managed Services,false,2026-03-20 07:01:48.136
208,1319,Data Governance Setup,MediaStream,2025-11-21,2026-04-22,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Project Based,true,2026-03-20 07:01:48.136
209,1319,POC Development,FinServ Global,2025-04-23,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Consulting,true,2026-03-20 07:01:48.136
210,1351,ML Pipeline,FoodChain Co,2025-12-16,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
211,1359,Snowflake Migration,RetailMax,2025-04-19,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Project Based,true,2026-03-20 07:01:48.136
212,1359,Dashboard Development,MediaStream,2025-10-26,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,true,2026-03-20 07:01:48.136
213,1359,Data Lake Build,MediaStream,2026-02-15,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
214,1383,Cost Optimization,TravelEase,2025-09-22,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
215,1399,Snowflake Migration,EduSpark,2025-11-27,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Support & Maintenance,false,2026-03-20 07:01:48.136
216,1399,ML Pipeline,TravelEase,2025-04-22,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
